landingFacilityType|locationIdentifier|stateCode|cityName|officialFacilityName|elevation|land_area|refPtLatitude|refPtLongitude
AIRPORT|WS33|WI|OREGON|STORYTOWN AIRFIELD|956|3|42.9088611111111|-89.4530555555556
AIRPORT|WI40|WI|OREGON|SPIEGEL FIELD|960||42.9133333333333|-89.3523416666667
AIRPORT|WI11|WI|ORFORDVILLE|MUMM FIELD|945||42.5913988888889|-89.24067
AIRPORT|OEO|WI|OSCEOLA|L O SIMENSTAD MUNI|905.5|389|45.3093430555556|-92.6901228055555
HELIPORT|69WI|WI|OSCEOLA|KROY-OSCEOLA|910|1|45.3199638888889|-92.6877072222222
AIRPORT|WN86|WI|OSCEOLA|ST CROIX VALLEY|1085|35|45.2638536111111|-92.6215919444444
AIRPORT|OSH|WI|OSHKOSH|WITTMAN RGNL|808.4|1392|43.9844911388889|-88.5569348611111
AIRPORT|1WI1|WI|OSHKOSH|WILLIAMS|800||43.9327608333333|-88.704555
HELIPORT|WS50|WI|OSHKOSH|MERCY MEDICAL CENTER|775||44.0139694444444|-88.5996583333333
SEAPLANE BASE|96WI|WI|OSHKOSH|VETTE/BLUST|750||43.9410963888889|-88.4937238888889
AIRPORT|51WI|WI|OSHKOSH|GALLINGER|800||44.0627616666667|-88.5573347222222
AIRPORT|WS17|WI|OSHKOSH|PIONEER|826|15|43.9894280555555|-88.5784463888889
HELIPORT|78WI|WI|OSSEO|MAYO CLINIC HEALTH SYSTEM-OAKRIDGE|989||44.5775138888889|-91.2116111111111
AIRPORT|WS02|WI|OXFORD|POLISH PARADISE|1030|28|43.7424769444444|-89.7159575
AIRPORT|2WI9|WI|OXFORD|BULLDOG RANCH|955|80|43.7599769444444|-89.6348458333333
AIRPORT|88C|WI|PALMYRA|PALMYRA MUNI|851|156|42.8835444444444|-88.5999166666667
AIRPORT|9WI5|WI|PALMYRA|TAMARACK|850||42.8283447222222|-88.5745452777778
AIRPORT|PKF|WI|PARK FALLS|PARK FALLS MUNI|1500.9|72|45.9550906388889|-90.4244345
AIRPORT|WS06|WI|PARK FALLS|SPRINGSTEAD|1600||45.9877261111111|-90.163495
AIRPORT|WI90|WI|PEMBINE|MAVERICK FIELD|980||45.6543666666667|-87.9551583333333
AIRPORT|25WN|WI|PEPIN|LITTLE PLUM CREEK|830|12|44.5287175833333|-92.1203410555556
AIRPORT|PBH|WI|PHILLIPS|PRICE COUNTY|1497.1|518|45.7088333333333|-90.4025
AIRPORT|8WI2|WI|PLAINFIELD|RUNWAY LEASING INC NR 1|1100|40|44.2246941666667|-89.5309533333333
AIRPORT|5WI2|WI|PLAINFIELD|PLAINFIELD INTL|1110|10|44.2224725|-89.4953991666667
AIRPORT|WN09|WI|PLAINFIELD|"BUCKY'S AIRPARK"|1145||44.1644444444444|-89.5080555555556
AIRPORT|PVB|WI|PLATTEVILLE|PLATTEVILLE MUNI|1024.8|533|42.6893611111111|-90.4443888888889
HELIPORT|WN97|WI|PLEASANT PRAIRIE|"ST CATHERINE'S HOSPITAL"|728|50|42.5636111111111|-87.9236111111111
AIRPORT|8WI3|WI|PLOVER|RUNWAY LEASING INC NR 2|1070|15|44.4208025|-89.5553963888889
HELIPORT|57WI|WI|PLYMOUTH|AURORA VALLEY VIEW MEDICAL CENTER|878||43.7444444444444|-87.9677777777778
AIRPORT|9WI6|WI|POLAR|KITTY HAWK ESTATES|1500||45.104135|-89.0167769444444
AIRPORT|C47|WI|PORTAGE|PORTAGE MUNI|824|106|43.5603055555556|-89.4828611111111
AIRPORT|WS28|WI|PORTAGE|COLEMAN|800||43.5535930555556|-89.3898411111111
HELIPORT|8WI4|WI|PORT WASHINGTON|"ST MARY'S HOSPITAL OZAUKEE"|710|8|43.2553083333333|-87.9262277777778
AIRPORT|WS29|WI|POUND|TACHICK FIELD|855||45.1202588888889|-88.1434361111111
AIRPORT|10WI|WI|POUND|BUDS LANDING|850||45.1158147222222|-88.1895466666667
HELIPORT|18WI|WI|POY SIPPI|LEACH FARMS|750||44.0880361111111|-88.9253916666667
HELIPORT|4WI6|WI|PRAIRIE DU CHIEN|PRAIRIE DU CHIEN MEMORIAL HOSPITAL|640||43.0208527777778|-91.1113166666667
AIRPORT|PDC|WI|PRAIRIE DU CHIEN|PRAIRIE DU CHIEN MUNI|660.3|257|43.0192852777778|-91.1237327777778
AIRPORT|91C|WI|PRAIRIE DU SAC|SAUK-PRAIRIE|832|20|43.2978611111111|-89.7558055555556
AIRPORT|6WI0|WI|PRAIRIE FARM|CUB ACRES|1000||45.1805175|-91.9876788888889
AIRPORT|19WI|WI|PRAIRIE FARM|ERICKSON FIELD|1180||45.19524|-92.0571255555556
AIRPORT|5N2|WI|PRENTICE|PRENTICE|1578|28|45.5430194444444|-90.2793163888889
AIRPORT|92C|WI|PULASKI|CARTER|782.2|80|44.6410166666667|-88.2145194444444
AIRPORT|RAC|WI|RACINE|BATTEN INTL|673.6|467|42.7611666666667|-87.8139166666667
HELIPORT|1WI4|WI|RACINE|JOHNSON WAX|640||42.7083530555556|-87.7917411111111
HELIPORT|WS53|WI|RACINE|"ST MARY'S MEDICAL CENTER"|686||42.7309638888889|-87.8278388888889
SEAPLANE BASE|1WI5|WI|RANDOLPH|BEAVER DAM LAKE|871||43.5149875|-88.9526097222222
AIRPORT|1WI6|WI|RAYMOND TOWNSHIP|AERO ESTATES|825||42.8402941666667|-88.063975
AIRPORT|3WI8|WI|REDGRANITE|PLANTATION PINE|825|4|44.0533122222222|-89.1217838888889
AIRPORT|1WI7|WI|REDGRANITE|BUZZARDS ROOST|805||44.0222016666667|-89.0965058333333
AIRPORT|20WI|WI|REDGRANITE|HARJU|800||44.0213683333333|-89.0792836111111
AIRPORT|C35|WI|REEDSBURG|REEDSBURG MUNI|906.2|153|43.5258990833333|-89.9832216666667
HELIPORT|WS54|WI|REEDSBURG|REEDSBURG AREA MEDICAL CENTER|940||43.5500638888889|-89.9921722222222
AIRPORT|WI42|WI|RHINELANDER|PINE GROVE|1630|240|45.6571777777778|-89.5298580555556
AIRPORT|WS78|WI|RHINELANDER|RIVER VALLEY|1525|62|45.5502777777778|-89.4877777777778
AIRPORT|RHI|WI|RHINELANDER|RHINELANDER-ONEIDA COUNTY|1623.6|1259|45.6308997222222|-89.4666281944444
AIRPORT|RPD|WI|RICE LAKE|"RICE LAKE RGNL - CARL'S FIELD"|1109.2|750|45.4201111111111|-91.7733333333333
HELIPORT|62WI|WI|RICE LAKE|LAKEVIEW MEDICAL CENTER|1145||45.5145916666667|-91.7353861111111
AIRPORT|93C|WI|RICHLAND CENTER|RICHLAND|742|105|43.2833575|-90.2982819444444
HELIPORT|26WN|WI|RICHLAND CENTER|RICHLAND HOSPITAL|850||43.3386888888889|-90.3820638888889
AIRPORT|7WI7|WI|RICHLAND CENTER|SPRINGHILL FIELD|1160|3|43.4541666666667|-90.4272222222222
AIRPORT|4WI1|WI|RIO|BANCROFT EAST|840||43.4833183333333|-89.1834477777778
AIRPORT|94C|WI|RIO|GILBERT FIELD|925|42|43.4499852777778|-89.2501158333333
AIRPORT|7WI2|WI|RIO|HIGGINS|965|4|43.4430419444444|-89.1781697222222
AIRPORT|WI28|WI|RIO CREEK|"WALTER'S AGRI-CENTER"|717|45|44.5861088888889|-87.5575897222222
AIRPORT|WI67|WI|RIPON|BENNETT FIELD|935|10|43.8766483333333|-88.9006680555556
AIRPORT|WS46|WI|RIPON|J & L AVIATION|975|10|43.8309544444444|-88.8887233333333
HELIPORT|70WI|WI|RIPON|RIPON MEDICAL CENTER|963||43.8336944444444|-88.8189166666667
AIRPORT|6WI2|WI|RIVER FALLS|ST CROIX RIVIERA|895||44.8438563888889|-92.7557572222222
HELIPORT|8WI9|WI|RIVER FALLS|RIVER FALLS AREA HOSPITAL|947||44.8650805555556|-92.60235
AIRPORT|WS41|WI|ROBERTS|RUSMAR FARMS|1050|1|45.0121888888889|-92.5513080555556
AIRPORT|96C|WI|ROCHESTER|FOX RIVER|822|20|42.7500163888889|-88.2509238888889
AIRPORT|0WS7|WI|ROCKDALE|ROCKDALE|825|10|42.9699166666667|-89.0288611111111
AIRPORT|38WI|WI|ROYALTON|NORTHPORT|800||44.3885916666667|-88.8526066666667
AIRPORT|WS71|WI|ST CROIX FALLS|FLYING J|1205||45.4305138888889|-92.6154833333333
SEAPLANE BASE|WS64|WI|ST GERMAIN|SCHIFFMANN|1589|735|45.8881472222222|-89.5329194444444
AIRPORT|4WN9|WI|SALEM|DIGGER DOUGS|800||42.5975|-88.1463888888889
AIRPORT|6WI4|WI|SAXON|SAXON|950||46.5155027777778|-90.4315694444444
AIRPORT|WI47|WI|SCANDINAVIA|TIMBERLINE|890||44.4333111111111|-89.1501122222222
AIRPORT|WS55|WI|SHARON|BARTEN|977|83|42.5175161111111|-88.7453819444444
AIRPORT|EZS|WI|SHAWANO|SHAWANO MUNI|812.8|342|44.7873058333333|-88.5600144444444
HELIPORT|98WI|WI|SHAWANO|SHAWANO MEDICAL CENTER|812||44.7844305555556|-88.6178527777778
AIRPORT|8WI1|WI|SHAWANO|"DILLENBURG'S"|915||44.7535905555556|-88.7281583333333
AIRPORT|SBM|WI|SHEBOYGAN|SHEBOYGAN COUNTY MEMORIAL|755.2|737|43.7697777777778|-87.8517222222222
HELIPORT|WS56|WI|SHEBOYGAN|ST NICHOLAS HOSPITAL|680||43.7618833333333|-87.7466416666667
HELIPORT|WS18|WI|SHEBOYGAN|AURORA SHEBOYGAN MEMORIAL MEDICAL CENTER|749||43.7719444444444|-87.7102777777778
AIRPORT|WN03|WI|SHEBOYGAN|VAN DER VAART|622||43.6786072222222|-87.7256413888889
AIRPORT|SSQ|WI|SHELL LAKE|SHELL LAKE MUNI|1233.1|132|45.7313805555556|-91.9206611111111
HELIPORT|WS79|WI|SHELL LAKE|INDIANHEAD MEDICAL CENTER|1250||45.7416666666667|-91.9269444444444
AIRPORT|W34|WI|SHIOCTON|SHIOCTON|769|45|44.4547058333333|-88.5617677777778
AIRPORT|2WI2|WI|SHULLSBURG|SHULLSBURG|1080||42.5569469444444|-90.2276263888889
AIRPORT|RZN|WI|SIREN|BURNETT COUNTY|989.3|576|45.8234638888889|-92.3736930555555
AIRPORT|WS51|WI|SOLDIERS GROVE|LEEWARD FARM|1068.2|80|43.3526476388889|-90.6810229166667
AIRPORT|OLG|WI|SOLON SPRINGS|SOLON SPRINGS MUNI|1102.1|128|46.3147508333333|-91.8163758333333
SEAPLANE BASE|SS1|WI|SOLON SPRINGS|NORTH COUNTRY|1000||46.3698333333333|-91.798
AIRPORT|24WI|WI|SOMERSET|IRLBECK|990||45.0955222222222|-92.6738136111111
AIRPORT|CMY|WI|SPARTA|SPARTA/FORT MC COY|837.8|640|43.9582935555556|-90.7379355277778
HELIPORT|77WI|WI|SPARTA|"ST MARY'S HOSPITAL - FRANCISCAN-SKEMP"|772||43.9450638888889|-90.8142416666667
AIRPORT|44WI|WI|SPENCER|STOIBER|1298||44.7722166666667|-90.3850666666667
AIRPORT|1H9|WI|SPOONER|NEST OF EAGLES|1120||45.8356111111111|-91.8028888888889
HELIPORT|WS58|WI|SPOONER|SPOONER HOSPITAL|1080||45.8257138888889|-91.894775
